rule :1-1=>4-1,5-7,6-1,7-5,8-2,14-1,16-1,17-1 confidence :0.5
rule :1-1,5-7,14-1=>4-1,6-1,7-5,8-2,16-1,17-1 confidence :1.0
rule :1-1,5-7,16-1=>4-1,6-1,7-5,8-2,14-1,17-1 confidence :1.0
rule :1-1,5-7,17-1=>4-1,6-1,7-5,8-2,14-1,16-1 confidence :1.0
rule :1-1,6-1,7-5=>4-1,5-7,8-2,14-1,16-1,17-1 confidence :1.0
rule :1-1,6-1,8-2=>4-1,5-7,7-5,14-1,16-1,17-1 confidence :1.0
rule :1-1,6-1,14-1=>4-1,5-7,7-5,8-2,16-1,17-1 confidence :1.0
rule :1-1,6-1,16-1=>4-1,5-7,7-5,8-2,14-1,17-1 confidence :1.0
rule :1-1,6-1,17-1=>4-1,5-7,7-5,8-2,14-1,16-1 confidence :1.0
rule :1-1,7-5,8-2=>4-1,5-7,6-1,14-1,16-1,17-1 confidence :1.0
rule :1-1,7-5,14-1=>4-1,5-7,6-1,8-2,16-1,17-1 confidence :1.0
rule :1-1,7-5,16-1=>4-1,5-7,6-1,8-2,14-1,17-1 confidence :1.0
rule :1-1,7-5,17-1=>4-1,5-7,6-1,8-2,14-1,16-1 confidence :1.0
rule :1-1,8-2,14-1=>4-1,5-7,6-1,7-5,16-1,17-1 confidence :1.0
rule :1-1,8-2,16-1=>4-1,5-7,6-1,7-5,14-1,17-1 confidence :1.0
rule :1-1,8-2,17-1=>4-1,5-7,6-1,7-5,14-1,16-1 confidence :1.0
rule :1-1,14-1,16-1=>4-1,5-7,6-1,7-5,8-2,17-1 confidence :1.0
rule :1-1,14-1,17-1=>4-1,5-7,6-1,7-5,8-2,16-1 confidence :1.0
rule :1-1,16-1,17-1=>4-1,5-7,6-1,7-5,8-2,14-1 confidence :1.0
rule :4-1,5-7,6-1=>1-1,7-5,8-2,14-1,16-1,17-1 confidence :1.0
rule :4-1,5-7,7-5=>1-1,6-1,8-2,14-1,16-1,17-1 confidence :1.0
rule :4-1,5-7,8-2=>1-1,6-1,7-5,14-1,16-1,17-1 confidence :1.0
rule :4-1,5-7,14-1=>1-1,6-1,7-5,8-2,16-1,17-1 confidence :1.0
rule :4-1,5-7,16-1=>1-1,6-1,7-5,8-2,14-1,17-1 confidence :1.0
rule :4-1,5-7,17-1=>1-1,6-1,7-5,8-2,14-1,16-1 confidence :1.0
rule :4-1,6-1,7-5=>1-1,5-7,8-2,14-1,16-1,17-1 confidence :1.0
rule :4-1,6-1,8-2=>1-1,5-7,7-5,14-1,16-1,17-1 confidence :1.0
rule :4-1,6-1,14-1=>1-1,5-7,7-5,8-2,16-1,17-1 confidence :1.0
rule :4-1,6-1,16-1=>1-1,5-7,7-5,8-2,14-1,17-1 confidence :1.0
rule :4-1,6-1,17-1=>1-1,5-7,7-5,8-2,14-1,16-1 confidence :1.0
rule :4-1,7-5,8-2=>1-1,5-7,6-1,14-1,16-1,17-1 confidence :1.0
rule :4-1,7-5,14-1=>1-1,5-7,6-1,8-2,16-1,17-1 confidence :1.0
rule :4-1,7-5,16-1=>1-1,5-7,6-1,8-2,14-1,17-1 confidence :1.0
rule :4-1,7-5,17-1=>1-1,5-7,6-1,8-2,14-1,16-1 confidence :1.0
rule :4-1,8-2,14-1=>1-1,5-7,6-1,7-5,16-1,17-1 confidence :1.0
rule :4-1,8-2,16-1=>1-1,5-7,6-1,7-5,14-1,17-1 confidence :1.0
rule :4-1,8-2,17-1=>1-1,5-7,6-1,7-5,14-1,16-1 confidence :1.0
rule :4-1,14-1,16-1=>1-1,5-7,6-1,7-5,8-2,17-1 confidence :1.0
rule :4-1,14-1,17-1=>1-1,5-7,6-1,7-5,8-2,16-1 confidence :1.0
rule :4-1,16-1,17-1=>1-1,5-7,6-1,7-5,8-2,14-1 confidence :1.0
rule :5-7,6-1,7-5=>1-1,4-1,8-2,14-1,16-1,17-1 confidence :1.0
rule :5-7,6-1,8-2=>1-1,4-1,7-5,14-1,16-1,17-1 confidence :1.0
rule :5-7,6-1,14-1=>1-1,4-1,7-5,8-2,16-1,17-1 confidence :1.0
rule :5-7,6-1,16-1=>1-1,4-1,7-5,8-2,14-1,17-1 confidence :1.0
rule :5-7,6-1,17-1=>1-1,4-1,7-5,8-2,14-1,16-1 confidence :1.0
rule :5-7,7-5,8-2=>1-1,4-1,6-1,14-1,16-1,17-1 confidence :1.0
rule :5-7,7-5,14-1=>1-1,4-1,6-1,8-2,16-1,17-1 confidence :1.0
rule :5-7,7-5,16-1=>1-1,4-1,6-1,8-2,14-1,17-1 confidence :1.0
rule :5-7,7-5,17-1=>1-1,4-1,6-1,8-2,14-1,16-1 confidence :1.0
rule :5-7,8-2,14-1=>1-1,4-1,6-1,7-5,16-1,17-1 confidence :1.0
rule :5-7,8-2,16-1=>1-1,4-1,6-1,7-5,14-1,17-1 confidence :1.0
rule :5-7,8-2,17-1=>1-1,4-1,6-1,7-5,14-1,16-1 confidence :1.0
rule :5-7,14-1,16-1=>1-1,4-1,6-1,7-5,8-2,17-1 confidence :1.0
rule :5-7,14-1,17-1=>1-1,4-1,6-1,7-5,8-2,16-1 confidence :1.0
rule :5-7,16-1,17-1=>1-1,4-1,6-1,7-5,8-2,14-1 confidence :1.0
rule :6-1,7-5,8-2=>1-1,4-1,5-7,14-1,16-1,17-1 confidence :1.0
rule :6-1,7-5,14-1=>1-1,4-1,5-7,8-2,16-1,17-1 confidence :1.0
rule :6-1,7-5,16-1=>1-1,4-1,5-7,8-2,14-1,17-1 confidence :1.0
rule :6-1,7-5,17-1=>1-1,4-1,5-7,8-2,14-1,16-1 confidence :1.0
rule :6-1,8-2,14-1=>1-1,4-1,5-7,7-5,16-1,17-1 confidence :1.0
rule :6-1,8-2,16-1=>1-1,4-1,5-7,7-5,14-1,17-1 confidence :1.0
rule :6-1,8-2,17-1=>1-1,4-1,5-7,7-5,14-1,16-1 confidence :1.0
rule :6-1,14-1,16-1=>1-1,4-1,5-7,7-5,8-2,17-1 confidence :1.0
rule :6-1,14-1,17-1=>1-1,4-1,5-7,7-5,8-2,16-1 confidence :1.0
rule :6-1,16-1,17-1=>1-1,4-1,5-7,7-5,8-2,14-1 confidence :1.0
rule :7-5,8-2,14-1=>1-1,4-1,5-7,6-1,16-1,17-1 confidence :1.0
rule :7-5,8-2,16-1=>1-1,4-1,5-7,6-1,14-1,17-1 confidence :1.0
rule :7-5,8-2,17-1=>1-1,4-1,5-7,6-1,14-1,16-1 confidence :1.0
rule :7-5,14-1,16-1=>1-1,4-1,5-7,6-1,8-2,17-1 confidence :1.0
rule :7-5,14-1,17-1=>1-1,4-1,5-7,6-1,8-2,16-1 confidence :1.0
rule :7-5,16-1,17-1=>1-1,4-1,5-7,6-1,8-2,14-1 confidence :1.0
rule :8-2,14-1,16-1=>1-1,4-1,5-7,6-1,7-5,17-1 confidence :1.0
rule :8-2,14-1,17-1=>1-1,4-1,5-7,6-1,7-5,16-1 confidence :1.0
rule :8-2,16-1,17-1=>1-1,4-1,5-7,6-1,7-5,14-1 confidence :1.0
rule :14-1,16-1,17-1=>1-1,4-1,5-7,6-1,7-5,8-2 confidence :1.0
rule :1-1,4-1,5-7,6-1=>7-5,8-2,14-1,16-1,17-1 confidence :1.0
rule :1-1,4-1,5-7,7-5=>6-1,8-2,14-1,16-1,17-1 confidence :1.0
rule :1-1,4-1,5-7,8-2=>6-1,7-5,14-1,16-1,17-1 confidence :1.0
rule :1-1,4-1,5-7,14-1=>6-1,7-5,8-2,16-1,17-1 confidence :1.0
rule :1-1,4-1,5-7,16-1=>6-1,7-5,8-2,14-1,17-1 confidence :1.0
rule :1-1,4-1,5-7,17-1=>6-1,7-5,8-2,14-1,16-1 confidence :1.0
rule :1-1,4-1,6-1,7-5=>5-7,8-2,14-1,16-1,17-1 confidence :1.0
rule :1-1,4-1,6-1,8-2=>5-7,7-5,14-1,16-1,17-1 confidence :1.0
rule :1-1,4-1,6-1,14-1=>5-7,7-5,8-2,16-1,17-1 confidence :1.0
rule :1-1,4-1,6-1,16-1=>5-7,7-5,8-2,14-1,17-1 confidence :1.0
rule :1-1,4-1,6-1,17-1=>5-7,7-5,8-2,14-1,16-1 confidence :1.0
rule :1-1,4-1,7-5,8-2=>5-7,6-1,14-1,16-1,17-1 confidence :1.0
rule :1-1,4-1,7-5,14-1=>5-7,6-1,8-2,16-1,17-1 confidence :1.0
rule :1-1,4-1,7-5,16-1=>5-7,6-1,8-2,14-1,17-1 confidence :1.0
rule :1-1,4-1,7-5,17-1=>5-7,6-1,8-2,14-1,16-1 confidence :1.0
rule :1-1,4-1,8-2,14-1=>5-7,6-1,7-5,16-1,17-1 confidence :1.0
rule :1-1,4-1,8-2,16-1=>5-7,6-1,7-5,14-1,17-1 confidence :1.0
rule :1-1,4-1,8-2,17-1=>5-7,6-1,7-5,14-1,16-1 confidence :1.0
rule :1-1,4-1,14-1,16-1=>5-7,6-1,7-5,8-2,17-1 confidence :1.0
rule :1-1,4-1,14-1,17-1=>5-7,6-1,7-5,8-2,16-1 confidence :1.0
rule :1-1,4-1,16-1,17-1=>5-7,6-1,7-5,8-2,14-1 confidence :1.0
rule :1-1,5-7,6-1,7-5=>4-1,8-2,14-1,16-1,17-1 confidence :1.0
rule :1-1,5-7,6-1,8-2=>4-1,7-5,14-1,16-1,17-1 confidence :1.0
rule :1-1,5-7,6-1,14-1=>4-1,7-5,8-2,16-1,17-1 confidence :1.0
rule :1-1,5-7,6-1,16-1=>4-1,7-5,8-2,14-1,17-1 confidence :1.0
rule :1-1,5-7,6-1,17-1=>4-1,7-5,8-2,14-1,16-1 confidence :1.0
rule :1-1,5-7,7-5,8-2=>4-1,6-1,14-1,16-1,17-1 confidence :1.0
rule :1-1,5-7,7-5,14-1=>4-1,6-1,8-2,16-1,17-1 confidence :1.0
rule :1-1,5-7,7-5,16-1=>4-1,6-1,8-2,14-1,17-1 confidence :1.0
rule :1-1,5-7,7-5,17-1=>4-1,6-1,8-2,14-1,16-1 confidence :1.0
rule :1-1,5-7,8-2,14-1=>4-1,6-1,7-5,16-1,17-1 confidence :1.0
rule :1-1,5-7,8-2,16-1=>4-1,6-1,7-5,14-1,17-1 confidence :1.0
rule :1-1,5-7,8-2,17-1=>4-1,6-1,7-5,14-1,16-1 confidence :1.0
rule :1-1,5-7,14-1,16-1=>4-1,6-1,7-5,8-2,17-1 confidence :1.0
rule :1-1,5-7,14-1,17-1=>4-1,6-1,7-5,8-2,16-1 confidence :1.0
rule :1-1,5-7,16-1,17-1=>4-1,6-1,7-5,8-2,14-1 confidence :1.0
rule :1-1,6-1,7-5,8-2=>4-1,5-7,14-1,16-1,17-1 confidence :1.0
rule :1-1,6-1,7-5,14-1=>4-1,5-7,8-2,16-1,17-1 confidence :1.0
rule :1-1,6-1,7-5,16-1=>4-1,5-7,8-2,14-1,17-1 confidence :1.0
rule :1-1,6-1,7-5,17-1=>4-1,5-7,8-2,14-1,16-1 confidence :1.0
rule :1-1,6-1,8-2,14-1=>4-1,5-7,7-5,16-1,17-1 confidence :1.0
rule :1-1,6-1,8-2,16-1=>4-1,5-7,7-5,14-1,17-1 confidence :1.0
rule :1-1,6-1,8-2,17-1=>4-1,5-7,7-5,14-1,16-1 confidence :1.0
rule :1-1,6-1,14-1,16-1=>4-1,5-7,7-5,8-2,17-1 confidence :1.0
rule :1-1,6-1,14-1,17-1=>4-1,5-7,7-5,8-2,16-1 confidence :1.0
rule :1-1,6-1,16-1,17-1=>4-1,5-7,7-5,8-2,14-1 confidence :1.0
rule :1-1,7-5,8-2,14-1=>4-1,5-7,6-1,16-1,17-1 confidence :1.0
rule :1-1,7-5,8-2,16-1=>4-1,5-7,6-1,14-1,17-1 confidence :1.0
rule :1-1,7-5,8-2,17-1=>4-1,5-7,6-1,14-1,16-1 confidence :1.0
rule :1-1,7-5,14-1,16-1=>4-1,5-7,6-1,8-2,17-1 confidence :1.0
rule :1-1,7-5,14-1,17-1=>4-1,5-7,6-1,8-2,16-1 confidence :1.0
rule :1-1,7-5,16-1,17-1=>4-1,5-7,6-1,8-2,14-1 confidence :1.0
rule :1-1,8-2,14-1,16-1=>4-1,5-7,6-1,7-5,17-1 confidence :1.0
rule :1-1,8-2,14-1,17-1=>4-1,5-7,6-1,7-5,16-1 confidence :1.0
rule :1-1,8-2,16-1,17-1=>4-1,5-7,6-1,7-5,14-1 confidence :1.0
rule :1-1,14-1,16-1,17-1=>4-1,5-7,6-1,7-5,8-2 confidence :1.0
rule :4-1,5-7,6-1,7-5=>1-1,8-2,14-1,16-1,17-1 confidence :1.0
rule :4-1,5-7,6-1,8-2=>1-1,7-5,14-1,16-1,17-1 confidence :1.0
rule :4-1,5-7,6-1,14-1=>1-1,7-5,8-2,16-1,17-1 confidence :1.0
rule :4-1,5-7,6-1,16-1=>1-1,7-5,8-2,14-1,17-1 confidence :1.0
rule :4-1,5-7,6-1,17-1=>1-1,7-5,8-2,14-1,16-1 confidence :1.0
rule :4-1,5-7,7-5,8-2=>1-1,6-1,14-1,16-1,17-1 confidence :1.0
rule :4-1,5-7,7-5,14-1=>1-1,6-1,8-2,16-1,17-1 confidence :1.0
rule :4-1,5-7,7-5,16-1=>1-1,6-1,8-2,14-1,17-1 confidence :1.0
rule :4-1,5-7,7-5,17-1=>1-1,6-1,8-2,14-1,16-1 confidence :1.0
rule :4-1,5-7,8-2,14-1=>1-1,6-1,7-5,16-1,17-1 confidence :1.0
rule :4-1,5-7,8-2,16-1=>1-1,6-1,7-5,14-1,17-1 confidence :1.0
rule :4-1,5-7,8-2,17-1=>1-1,6-1,7-5,14-1,16-1 confidence :1.0
rule :4-1,5-7,14-1,16-1=>1-1,6-1,7-5,8-2,17-1 confidence :1.0
rule :4-1,5-7,14-1,17-1=>1-1,6-1,7-5,8-2,16-1 confidence :1.0
rule :4-1,5-7,16-1,17-1=>1-1,6-1,7-5,8-2,14-1 confidence :1.0
rule :4-1,6-1,7-5,8-2=>1-1,5-7,14-1,16-1,17-1 confidence :1.0
rule :4-1,6-1,7-5,14-1=>1-1,5-7,8-2,16-1,17-1 confidence :1.0
rule :4-1,6-1,7-5,16-1=>1-1,5-7,8-2,14-1,17-1 confidence :1.0
rule :4-1,6-1,7-5,17-1=>1-1,5-7,8-2,14-1,16-1 confidence :1.0
rule :4-1,6-1,8-2,14-1=>1-1,5-7,7-5,16-1,17-1 confidence :1.0
rule :4-1,6-1,8-2,16-1=>1-1,5-7,7-5,14-1,17-1 confidence :1.0
rule :4-1,6-1,8-2,17-1=>1-1,5-7,7-5,14-1,16-1 confidence :1.0
rule :4-1,6-1,14-1,16-1=>1-1,5-7,7-5,8-2,17-1 confidence :1.0
rule :4-1,6-1,14-1,17-1=>1-1,5-7,7-5,8-2,16-1 confidence :1.0
rule :4-1,6-1,16-1,17-1=>1-1,5-7,7-5,8-2,14-1 confidence :1.0
rule :4-1,7-5,8-2,14-1=>1-1,5-7,6-1,16-1,17-1 confidence :1.0
rule :4-1,7-5,8-2,16-1=>1-1,5-7,6-1,14-1,17-1 confidence :1.0
rule :4-1,7-5,8-2,17-1=>1-1,5-7,6-1,14-1,16-1 confidence :1.0
rule :4-1,7-5,14-1,16-1=>1-1,5-7,6-1,8-2,17-1 confidence :1.0
rule :4-1,7-5,14-1,17-1=>1-1,5-7,6-1,8-2,16-1 confidence :1.0
rule :4-1,7-5,16-1,17-1=>1-1,5-7,6-1,8-2,14-1 confidence :1.0
rule :4-1,8-2,14-1,16-1=>1-1,5-7,6-1,7-5,17-1 confidence :1.0
rule :4-1,8-2,14-1,17-1=>1-1,5-7,6-1,7-5,16-1 confidence :1.0
rule :4-1,8-2,16-1,17-1=>1-1,5-7,6-1,7-5,14-1 confidence :1.0
rule :4-1,14-1,16-1,17-1=>1-1,5-7,6-1,7-5,8-2 confidence :1.0
rule :5-7,6-1,7-5,8-2=>1-1,4-1,14-1,16-1,17-1 confidence :1.0
rule :5-7,6-1,7-5,14-1=>1-1,4-1,8-2,16-1,17-1 confidence :1.0
rule :5-7,6-1,7-5,16-1=>1-1,4-1,8-2,14-1,17-1 confidence :1.0
rule :5-7,6-1,7-5,17-1=>1-1,4-1,8-2,14-1,16-1 confidence :1.0
rule :5-7,6-1,8-2,14-1=>1-1,4-1,7-5,16-1,17-1 confidence :1.0
rule :5-7,6-1,8-2,16-1=>1-1,4-1,7-5,14-1,17-1 confidence :1.0
rule :5-7,6-1,8-2,17-1=>1-1,4-1,7-5,14-1,16-1 confidence :1.0
rule :5-7,6-1,14-1,16-1=>1-1,4-1,7-5,8-2,17-1 confidence :1.0
rule :5-7,6-1,14-1,17-1=>1-1,4-1,7-5,8-2,16-1 confidence :1.0
rule :5-7,6-1,16-1,17-1=>1-1,4-1,7-5,8-2,14-1 confidence :1.0
rule :5-7,7-5,8-2,14-1=>1-1,4-1,6-1,16-1,17-1 confidence :1.0
rule :5-7,7-5,8-2,16-1=>1-1,4-1,6-1,14-1,17-1 confidence :1.0
rule :5-7,7-5,8-2,17-1=>1-1,4-1,6-1,14-1,16-1 confidence :1.0
rule :5-7,7-5,14-1,16-1=>1-1,4-1,6-1,8-2,17-1 confidence :1.0
rule :5-7,7-5,14-1,17-1=>1-1,4-1,6-1,8-2,16-1 confidence :1.0
rule :5-7,7-5,16-1,17-1=>1-1,4-1,6-1,8-2,14-1 confidence :1.0
rule :5-7,8-2,14-1,16-1=>1-1,4-1,6-1,7-5,17-1 confidence :1.0
rule :5-7,8-2,14-1,17-1=>1-1,4-1,6-1,7-5,16-1 confidence :1.0
rule :5-7,8-2,16-1,17-1=>1-1,4-1,6-1,7-5,14-1 confidence :1.0
rule :5-7,14-1,16-1,17-1=>1-1,4-1,6-1,7-5,8-2 confidence :1.0
rule :6-1,7-5,8-2,14-1=>1-1,4-1,5-7,16-1,17-1 confidence :1.0
rule :6-1,7-5,8-2,16-1=>1-1,4-1,5-7,14-1,17-1 confidence :1.0
rule :6-1,7-5,8-2,17-1=>1-1,4-1,5-7,14-1,16-1 confidence :1.0
rule :6-1,7-5,14-1,16-1=>1-1,4-1,5-7,8-2,17-1 confidence :1.0
rule :6-1,7-5,14-1,17-1=>1-1,4-1,5-7,8-2,16-1 confidence :1.0
rule :6-1,7-5,16-1,17-1=>1-1,4-1,5-7,8-2,14-1 confidence :1.0
rule :6-1,8-2,14-1,16-1=>1-1,4-1,5-7,7-5,17-1 confidence :1.0
rule :6-1,8-2,14-1,17-1=>1-1,4-1,5-7,7-5,16-1 confidence :1.0
rule :6-1,8-2,16-1,17-1=>1-1,4-1,5-7,7-5,14-1 confidence :1.0
rule :6-1,14-1,16-1,17-1=>1-1,4-1,5-7,7-5,8-2 confidence :1.0
rule :7-5,8-2,14-1,16-1=>1-1,4-1,5-7,6-1,17-1 confidence :1.0
rule :7-5,8-2,14-1,17-1=>1-1,4-1,5-7,6-1,16-1 confidence :1.0
rule :7-5,8-2,16-1,17-1=>1-1,4-1,5-7,6-1,14-1 confidence :1.0
rule :7-5,14-1,16-1,17-1=>1-1,4-1,5-7,6-1,8-2 confidence :1.0
rule :8-2,14-1,16-1,17-1=>1-1,4-1,5-7,6-1,7-5 confidence :1.0
rule :1-1,4-1,5-7,6-1,7-5=>8-2,14-1,16-1,17-1 confidence :1.0
rule :1-1,4-1,5-7,6-1,8-2=>7-5,14-1,16-1,17-1 confidence :1.0
rule :1-1,4-1,5-7,6-1,14-1=>7-5,8-2,16-1,17-1 confidence :1.0
rule :1-1,4-1,5-7,6-1,16-1=>7-5,8-2,14-1,17-1 confidence :1.0
rule :1-1,4-1,5-7,6-1,17-1=>7-5,8-2,14-1,16-1 confidence :1.0
rule :1-1,4-1,5-7,7-5,8-2=>6-1,14-1,16-1,17-1 confidence :1.0
rule :1-1,4-1,5-7,7-5,14-1=>6-1,8-2,16-1,17-1 confidence :1.0
rule :1-1,4-1,5-7,7-5,16-1=>6-1,8-2,14-1,17-1 confidence :1.0
rule :1-1,4-1,5-7,7-5,17-1=>6-1,8-2,14-1,16-1 confidence :1.0
rule :1-1,4-1,5-7,8-2,14-1=>6-1,7-5,16-1,17-1 confidence :1.0
rule :1-1,4-1,5-7,8-2,16-1=>6-1,7-5,14-1,17-1 confidence :1.0
rule :1-1,4-1,5-7,8-2,17-1=>6-1,7-5,14-1,16-1 confidence :1.0
rule :1-1,4-1,5-7,14-1,16-1=>6-1,7-5,8-2,17-1 confidence :1.0
rule :1-1,4-1,5-7,14-1,17-1=>6-1,7-5,8-2,16-1 confidence :1.0
rule :1-1,4-1,5-7,16-1,17-1=>6-1,7-5,8-2,14-1 confidence :1.0
rule :1-1,4-1,6-1,7-5,8-2=>5-7,14-1,16-1,17-1 confidence :1.0
rule :1-1,4-1,6-1,7-5,14-1=>5-7,8-2,16-1,17-1 confidence :1.0
rule :1-1,4-1,6-1,7-5,16-1=>5-7,8-2,14-1,17-1 confidence :1.0
rule :1-1,4-1,6-1,7-5,17-1=>5-7,8-2,14-1,16-1 confidence :1.0
rule :1-1,4-1,6-1,8-2,14-1=>5-7,7-5,16-1,17-1 confidence :1.0
rule :1-1,4-1,6-1,8-2,16-1=>5-7,7-5,14-1,17-1 confidence :1.0
rule :1-1,4-1,6-1,8-2,17-1=>5-7,7-5,14-1,16-1 confidence :1.0
rule :1-1,4-1,6-1,14-1,16-1=>5-7,7-5,8-2,17-1 confidence :1.0
rule :1-1,4-1,6-1,14-1,17-1=>5-7,7-5,8-2,16-1 confidence :1.0
rule :1-1,4-1,6-1,16-1,17-1=>5-7,7-5,8-2,14-1 confidence :1.0
rule :1-1,4-1,7-5,8-2,14-1=>5-7,6-1,16-1,17-1 confidence :1.0
rule :1-1,4-1,7-5,8-2,16-1=>5-7,6-1,14-1,17-1 confidence :1.0
rule :1-1,4-1,7-5,8-2,17-1=>5-7,6-1,14-1,16-1 confidence :1.0
rule :1-1,4-1,7-5,14-1,16-1=>5-7,6-1,8-2,17-1 confidence :1.0
rule :1-1,4-1,7-5,14-1,17-1=>5-7,6-1,8-2,16-1 confidence :1.0
rule :1-1,4-1,7-5,16-1,17-1=>5-7,6-1,8-2,14-1 confidence :1.0
rule :1-1,4-1,8-2,14-1,16-1=>5-7,6-1,7-5,17-1 confidence :1.0
rule :1-1,4-1,8-2,14-1,17-1=>5-7,6-1,7-5,16-1 confidence :1.0
rule :1-1,4-1,8-2,16-1,17-1=>5-7,6-1,7-5,14-1 confidence :1.0
rule :1-1,4-1,14-1,16-1,17-1=>5-7,6-1,7-5,8-2 confidence :1.0
rule :1-1,5-7,6-1,7-5,8-2=>4-1,14-1,16-1,17-1 confidence :1.0
rule :1-1,5-7,6-1,7-5,14-1=>4-1,8-2,16-1,17-1 confidence :1.0
rule :1-1,5-7,6-1,7-5,16-1=>4-1,8-2,14-1,17-1 confidence :1.0
rule :1-1,5-7,6-1,7-5,17-1=>4-1,8-2,14-1,16-1 confidence :1.0
rule :1-1,5-7,6-1,8-2,14-1=>4-1,7-5,16-1,17-1 confidence :1.0
